"filename", "language", "Dart", "comment", "blank", "total"
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\hive\hive_local_storage_service.dart", "Dart", 0, 0, 1, 1
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\localization\locale_keys.g.dart", "Dart", 24, 0, 0, 24
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\local_storage_model\save_location.dart", "Dart", 1, 0, 1, 2
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\local_storage_model\save_location.g.dart", "Dart", 3, 0, 0, 3
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\detail_page\detail_page.dart", "Dart", 33, 0, 5, 38
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\cubit\bottom_sheet_cubit.dart", "Dart", 3, 0, 1, 4
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\cubit\bottom_sheet_state.dart", "Dart", 10, 1, 5, 16
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\custom_bottom_sheet.dart", "Dart", 44, 18, 13, 75
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\custom_bottom_sheet_mixin.dart", "Dart", 2, 0, 2, 4
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\cubit\home_cubit.dart", "Dart", 41, 1, 7, 49
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\cubit\home_state.dart", "Dart", 13, 1, 5, 19
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\home_page_view.dart", "Dart", 23, 0, 2, 25
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\onboard_pages\welcome_to_app_page.dart", "Dart", 1, 0, 0, 1
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\save_page\cubit\save_cubit.dart", "Dart", 29, 1, 10, 40
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\save_page\cubit\save_state.dart", "Dart", 23, 0, 6, 29
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\save_page\save_page.dart", "Dart", 146, 2, 4, 152
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\save_page\save_page_appbar\save_page_custom_appbar.dart", "Dart", 31, 0, 3, 34
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\main.dart", "Dart", 2, 0, 3, 5
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\func\general\general_func.dart", "Dart", 32, 9, 5, 46
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\func\validate\validate_fun.dart", "Dart", 6, 0, 1, 7
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\alert_dialog\detail_dialog.dart", "Dart", 83, 4, 2, 89
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\alert_dialog\positive_negative_alert_dialog.dart", "Dart", 34, 0, 3, 37
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\base_widget\base_widget.dart", "Dart", 25, 0, 6, 31
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\bottom_bar\cubit\bottombar_view_model.dart", "Dart", 0, 0, 3, 3
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\buttons\custom_general_button.dart", "Dart", -1, 0, 0, -1
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\custom_text_form_field\custom_text_form_field.dart", "Dart", 21, 1, 3, 25
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\dropdown_button_formfield\custom_dropdown_button_form_field.dart", "Dart", 27, 1, 2, 30
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\texts\info_text.dart", "Dart", 44, 0, 4, 48
"Total", "-", 700, 39, 97, 836